wavenumber,reflectance,condition_id,angle_deg
1000.0,0.4228998535880095,angle10,10
1000.8340283569642,0.40961197405712235,angle10,10
1001.6680567139283,0.42764843099209066,angle10,10
1002.5020850708925,0.4296546307220514,angle10,10
1003.3361134278565,0.40081665192340704,angle10,10
1004.1701417848207,0.4073561859339009,angle10,10
1005.0041701417848,0.42168032647535525,angle10,10
1005.838198498749,0.4172364156108727,angle10,10
1006.6722268557131,0.4202007461903081,angle10,10
1007.5062552126773,0.4117812574376904,angle10,10
1008.3402835696413,0.4290216697836825,angle10,10
1009.1743119266055,0.4278946948138137,angle10,10
1010.0083402835696,0.42063930375600356,angle10,10
1010.8423686405338,0.43108681591528764,angle10,10
1011.6763969974979,0.4242981459688057,angle10,10
1012.5104253544621,0.4108120801752721,angle10,10
1013.3444537114262,0.42284783639817936,angle10,10
1014.1784820683903,0.4093002717373335,angle10,10
1015.0125104253544,0.42737589530620806,angle10,10
1015.8465387823186,0.4177680389808736,angle10,10
1016.6805671392827,0.4160682833410846,angle10,10
1017.5145954962469,0.410731021271178,angle10,10
1018.348623853211,0.4293630443627299,angle10,10
1019.1826522101751,0.41516366448854924,angle10,10
1020.0166805671392,0.41197113890019293,angle10,10
1020.8507089241034,0.41225279014620236,angle10,10
1021.6847372810676,0.4205913037930359,angle10,10
1022.5187656380317,0.41839124943971717,angle10,10
1023.3527939949959,0.4183073809023498,angle10,10
1024.18682235196,0.4179063042114614,angle10,10
1025.0208507089242,0.4344075529435408,angle10,10
1025.8548790658883,0.40829500848373174,angle10,10
1026.6889074228525,0.4065800732416985,angle10,10
1027.5229357798164,0.402883542095317,angle10,10
1028.3569641367806,0.4164754317359861,angle10,10
1029.1909924937447,0.42087550568265547,angle10,10
1030.0250208507089,0.40769241382176247,angle10,10
1030.859049207673,0.39965257837190316,angle10,10
1031.6930775646372,0.3990079289061963,angle10,10
1032.5271059216013,0.4129338094508763,angle10,10
1033.3611342785655,0.4130123110783287,angle10,10
1034.1951626355296,0.4101401570638519,angle10,10
1035.0291909924938,0.3971595346731359,angle10,10
1035.863219349458,0.40521965496720225,angle10,10
